baseline,race_id,season,round,race_date,field_size,spearman_correlation,mean_absolute_position_error,kendall_correlation,winner_accuracy,top_three_overlap
constructor_teammate_recent_10,2026-01,2026,1,2026-03-08,22,0.2761151891586674,5.818181818181818,0.19480519480519481,0.0,0.0
constructor_teammate_recent_5,2026-01,2026,1,2026-03-08,22,0.3303218520609825,5.7272727272727275,0.22077922077922077,0.0,0.0
constructor_teammate_season_weighted,2026-01,2026,1,2026-03-08,22,0.22868435911914176,6.545454545454546,0.06493506493506493,0.0,0.0
constructor_teammate_unweighted,2026-01,2026,1,2026-03-08,22,0.19480519480519476,6.636363636363637,0.047619047619047616,0.0,0.3333333333333333
driver_form_recent_10,2026-01,2026,1,2026-03-08,22,0.4206662902315076,5.454545454545454,0.2727272727272727,0.0,0.0
driver_form_recent_5,2026-01,2026,1,2026-03-08,22,0.48842461885940147,5.0,0.3333333333333333,0.0,0.0
driver_form_season_weighted,2026-01,2026,1,2026-03-08,22,0.4105025409373235,5.7272727272727275,0.26406926406926406,0.0,0.0
driver_form_unweighted,2026-01,2026,1,2026-03-08,22,0.49858836815358554,5.181818181818182,0.3333333333333333,0.0,0.3333333333333333
previous_race_order,2026-01,2026,1,2026-03-08,22,0.28176171654432525,6.090909090909091,0.18614718614718614,0.0,0.0
constructor_teammate_recent_10,2026-02,2026,2,2026-03-15,22,0.08865047995482778,6.545454545454546,0.10822510822510822,0.0,0.0
constructor_teammate_recent_5,2026-02,2026,2,2026-03-15,22,0.10784867306606438,6.454545454545454,0.11688311688311688,0.0,0.3333333333333333
constructor_teammate_season_weighted,2026-02,2026,2,2026-03-15,22,-0.0039525691699604515,7.454545454545454,0.030303030303030304,0.0,0.0
constructor_teammate_unweighted,2026-02,2026,2,2026-03-15,22,0.09429700734048563,7.545454545454546,0.0735930735930736,0.0,0.0
driver_form_recent_10,2026-02,2026,2,2026-03-15,22,0.1349520045172219,6.7272727272727275,0.09956709956709957,0.0,0.3333333333333333
driver_form_recent_5,2026-02,2026,2,2026-03-15,22,0.14963297571993228,6.454545454545454,0.12554112554112554,0.0,0.3333333333333333
driver_form_season_weighted,2026-02,2026,2,2026-03-15,22,0.09994353472614337,7.0,0.0735930735930736,0.0,0.0
driver_form_unweighted,2026-02,2026,2,2026-03-15,22,0.10784867306606438,7.0,0.0735930735930736,0.0,0.0
previous_race_order,2026-02,2026,2,2026-03-15,22,0.42744212309429697,5.181818181818182,0.3246753246753247,0.0,0.6666666666666666
constructor_teammate_recent_10,2026-03,2026,3,2026-03-29,22,0.6883116883116883,3.909090909090909,0.49783549783549785,0.0,0.3333333333333333
constructor_teammate_recent_5,2026-03,2026,3,2026-03-29,22,0.7086391869000565,4.0,0.5064935064935064,0.0,0.3333333333333333
constructor_teammate_season_weighted,2026-03,2026,3,2026-03-29,22,0.6058723884810842,4.636363636363637,0.42857142857142855,0.0,0.3333333333333333
constructor_teammate_unweighted,2026-03,2026,3,2026-03-29,22,0.6092603049124788,4.7272727272727275,0.4025974025974026,0.0,0.3333333333333333
driver_form_recent_10,2026-03,2026,3,2026-03-29,22,0.5629587803500846,4.7272727272727275,0.35064935064935066,0.0,0.3333333333333333
driver_form_recent_5,2026-03,2026,3,2026-03-29,22,0.6612083568605307,4.0,0.43722943722943725,0.0,0.0
driver_form_season_weighted,2026-03,2026,3,2026-03-29,22,0.5753811405985318,5.0,0.3593073593073593,0.0,0.3333333333333333
driver_form_unweighted,2026-03,2026,3,2026-03-29,22,0.5448898927159797,5.181818181818182,0.3593073593073593,0.0,0.3333333333333333
previous_race_order,2026-03,2026,3,2026-03-29,22,0.3721061547148503,5.0,0.31601731601731603,1.0,0.3333333333333333
