model_id,model_family,feature_set,history_scheme,race_id,season,round,race_date,field_size,spearman_correlation,mean_absolute_position_error,kendall_correlation,winner_accuracy,top_three_overlap
ridge_full_unweighted_alpha_100,ridge,full,unweighted,2026-07,2026,7,2026-06-14,22,0.6736307171089779,3.5454545454545454,0.5670995670995671,0.0,0.3333333333333333
ridge_full_unweighted_alpha_100,ridge,full,unweighted,2026-08,2026,8,2026-06-28,22,0.8949745906267645,2.090909090909091,0.7575757575757576,0.0,0.6666666666666666
ridge_full_unweighted_alpha_100,ridge,full,unweighted,2026-09,2026,9,2026-07-05,22,0.5313382269904009,4.454545454545454,0.4199134199134199,0.0,0.3333333333333333
ridge_full_unweighted_alpha_100,ridge,full,unweighted,2026-10,2026,10,2026-07-19,22,0.6826651609260305,3.1818181818181817,0.5757575757575758,0.0,0.0
ridge_full_unweighted_alpha_100,ridge,full,unweighted,2026-11,2026,11,2026-07-26,22,0.7504234895539243,3.090909090909091,0.5757575757575758,0.0,0.3333333333333333
gradient_boosting_full_season_weighted,gradient_boosting,full,season_weighted,2026-07,2026,7,2026-06-14,22,0.5392433653303219,4.818181818181818,0.43722943722943725,0.0,0.3333333333333333
gradient_boosting_full_season_weighted,gradient_boosting,full,season_weighted,2026-08,2026,8,2026-06-28,22,0.8170525127046866,3.0,0.6536796536796536,0.0,0.6666666666666666
gradient_boosting_full_season_weighted,gradient_boosting,full,season_weighted,2026-09,2026,9,2026-07-05,22,0.5234330886504799,4.7272727272727275,0.3852813852813853,0.0,0.6666666666666666
gradient_boosting_full_season_weighted,gradient_boosting,full,season_weighted,2026-10,2026,10,2026-07-19,22,0.5347261434217956,4.2727272727272725,0.4025974025974026,0.0,0.0
gradient_boosting_full_season_weighted,gradient_boosting,full,season_weighted,2026-11,2026,11,2026-07-26,22,0.647656691134952,3.909090909090909,0.4805194805194805,0.0,0.3333333333333333
