constructor_id,constructor_name,dominant_profile,races,classified_results,average_normalized_finish_score,average_normalized_position
ferrari,Ferrari,braking,20,35,0.8197636949516648,4.457142857142857
red_bull,Red Bull,braking,20,37,0.8156878683194473,4.54054054054054
mclaren,McLaren,braking,20,35,0.774937343358396,5.314285714285714
mercedes,Mercedes,braking,20,35,0.7290368779090584,6.2
rb,RB F1 Team,braking,14,26,0.5104106419895894,10.423076923076923
aston_martin,Aston Martin,braking,20,35,0.5001074113856069,10.628571428571428
audi,Audi,braking,3,6,0.5,11.5
alpine,Alpine F1 Team,braking,20,34,0.4256228807312399,12.058823529411764
williams,Williams,braking,20,32,0.41940789473684215,12.21875
haas,Haas F1 Team,braking,20,36,0.36257309941520466,13.277777777777779
alphatauri,AlphaTauri,braking,6,11,0.3444976076555024,13.454545454545455
alfa,Alfa Romeo,braking,6,10,0.34210526315789475,13.5
cadillac,Cadillac F1 Team,braking,3,2,0.30952380952380953,15.5
sauber,Sauber,braking,11,22,0.2511961722488038,15.227272727272727
red_bull,Red Bull,straight,33,61,0.7968007450319788,4.918032786885246
mercedes,Mercedes,straight,33,59,0.7840505217846877,5.11864406779661
ferrari,Ferrari,straight,33,56,0.7708034968373314,5.392857142857143
mclaren,McLaren,straight,33,60,0.7206836535783905,6.35
audi,Audi,straight,4,5,0.5714285714285714,10.0
aston_martin,Aston Martin,straight,33,57,0.5025282504506882,10.578947368421053
alpine,Alpine F1 Team,straight,33,55,0.45702893597630445,11.4
rb,RB F1 Team,straight,21,39,0.4560867981920613,11.461538461538462
williams,Williams,straight,33,55,0.4179235968709653,12.2
haas,Haas F1 Team,straight,33,59,0.4046627869107798,12.440677966101696
alfa,Alfa Romeo,straight,12,22,0.37320574162679426,12.909090909090908
alphatauri,AlphaTauri,straight,12,23,0.31578947368421056,14.0
sauber,Sauber,straight,17,29,0.2912885662431942,14.413793103448276
cadillac,Cadillac F1 Team,straight,4,6,0.2698412698412698,16.333333333333332
mclaren,McLaren,tyre_stress,28,54,0.8380596553111174,4.111111111111111
ferrari,Ferrari,tyre_stress,28,54,0.770112008416102,5.425925925925926
mercedes,Mercedes,tyre_stress,28,53,0.7467016598099021,5.849056603773585
red_bull,Red Bull,tyre_stress,28,50,0.7142606516290726,6.48
alphatauri,AlphaTauri,tyre_stress,4,7,0.5263157894736842,10.0
audi,Audi,tyre_stress,4,6,0.5,11.5
aston_martin,Aston Martin,tyre_stress,28,42,0.47467876039304613,11.047619047619047
rb,RB F1 Team,tyre_stress,24,39,0.42884990253411304,12.0
haas,Haas F1 Team,tyre_stress,28,53,0.40822969373118334,12.358490566037736
sauber,Sauber,tyre_stress,20,32,0.38514254385964913,12.65625
alpine,Alpine F1 Team,tyre_stress,28,53,0.3833877145694425,12.830188679245284
williams,Williams,tyre_stress,28,41,0.3706726165006011,13.097560975609756
cadillac,Cadillac F1 Team,tyre_stress,4,5,0.3047619047619048,15.6
alfa,Alfa Romeo,tyre_stress,4,6,0.2631578947368421,15.0
