model_id,context_group,weekend_weight,support_feature_count,selection_races,average_spearman_correlation,average_mean_absolute_position_error,average_kendall_correlation,winner_accuracy,average_top_three_overlap,spearman_change_from_matching_pre_weekend,races_beating_matching_pre_weekend,eligible_for_selection,selected_model
post_qualifying_pre_weekend_weekend_60,pre_weekend,0.6,14,6,0.554300771692076,4.257575757575758,0.455988455988456,0.5,0.611111111111111,0.0,0,True,False
post_qualifying_pre_weekend_weekend_70,pre_weekend,0.7,14,6,0.5684170901562206,4.121212121212121,0.4675324675324675,0.8333333333333334,0.5555555555555555,0.0,0,True,False
post_qualifying_pre_weekend_weekend_80,pre_weekend,0.8,14,6,0.5706757011104837,4.075757575757575,0.47763347763347763,0.8333333333333334,0.6666666666666666,0.0,0,True,False
post_qualifying_reliability_weekend_60,reliability,0.6,20,6,0.5584415584415584,4.2272727272727275,0.4588744588744589,0.5,0.611111111111111,0.0041407867494823725,3,True,False
post_qualifying_reliability_weekend_70,reliability,0.7,20,6,0.5716167890080933,4.121212121212121,0.4704184704184704,0.8333333333333334,0.611111111111111,0.0031996988518727676,2,False,False
post_qualifying_reliability_weekend_80,reliability,0.8,20,6,0.5706757011104837,4.075757575757575,0.47763347763347763,0.8333333333333334,0.6666666666666666,0.0,0,False,False
post_qualifying_practice_weekend_60,practice,0.6,26,6,0.5638998682476943,4.257575757575758,0.4718614718614718,0.5,0.5555555555555555,0.009599096555618303,4,True,False
post_qualifying_practice_weekend_70,practice,0.7,26,6,0.5738753999623565,4.136363636363636,0.47763347763347763,0.8333333333333334,0.611111111111111,0.00545830980613593,3,True,True
post_qualifying_practice_weekend_80,practice,0.8,26,6,0.5697346132128741,4.106060606060606,0.47763347763347763,0.8333333333333334,0.611111111111111,-0.0009410878976096049,2,False,False
post_qualifying_circuit_profile_weekend_60,circuit_profile,0.6,17,6,0.5535479013739883,4.287878787878788,0.45310245310245306,0.3333333333333333,0.5555555555555555,-0.0007528703180876839,2,False,False
post_qualifying_circuit_profile_weekend_70,circuit_profile,0.7,17,6,0.5731225296442688,4.106060606060606,0.468975468975469,0.8333333333333334,0.611111111111111,0.004705439488048246,3,True,False
post_qualifying_circuit_profile_weekend_80,circuit_profile,0.8,17,6,0.5680406549971767,4.090909090909091,0.4761904761904762,0.8333333333333334,0.611111111111111,-0.0026350461133070047,1,False,False
post_qualifying_all_context_weekend_60,all_context,0.6,35,6,0.5682288725766987,4.242424242424242,0.4718614718614718,0.5,0.611111111111111,0.013928100884622707,4,True,False
post_qualifying_all_context_weekend_70,all_context,0.7,35,6,0.5755693581780538,4.121212121212121,0.47907647907647904,0.8333333333333334,0.611111111111111,0.007152268021833219,2,False,False
post_qualifying_all_context_weekend_80,all_context,0.8,35,6,0.5716167890080933,4.090909090909091,0.48051948051948057,0.8333333333333334,0.611111111111111,0.0009410878976096049,3,True,False
