outcome,method,brier_score,log_loss,expected_calibration_error_5_bins
win,raw,0.027465807272727273,0.08751654540690385,0.03349272727272727
win,calibrated,0.02721550799101077,0.08039670568543754,0.018410360549988854
win,preferred,0.02721550799101077,0.08039670568543754,0.018410360549988854
podium,raw,0.0635210309090909,0.1854319008491098,0.042216363636363635
podium,calibrated,0.06458803911875459,0.19601503454761485,0.025467007006100915
podium,preferred,0.0635210309090909,0.1854319008491098,0.04221636363636394
top_10,raw,0.12538822981818182,0.3997394820412887,0.039792727272727244
top_10,calibrated,0.15237382073226893,0.47598751805471984,0.14259765860065132
top_10,preferred,0.12538822981818182,0.3997394820412887,0.03979272727272724
dnf,raw,0.10910730227272727,0.3639724179234284,0.046030000000000015
dnf,calibrated,0.1219805401605817,0.40799666618112695,0.12032792842555362
dnf,preferred,0.10910730227272727,0.3639724179234284,0.046030000000000015
