race_id,driver_id,training_season_weight,target_normalized_position,target_official_position,target_classification_status
2023-01,albon,0.25,10,10,CLASSIFIED
2023-01,alonso,0.25,3,3,CLASSIFIED
2023-01,bottas,0.25,8,8,CLASSIFIED
2023-01,de_vries,0.25,14,14,CLASSIFIED
2023-01,gasly,0.25,9,9,CLASSIFIED
2023-01,hamilton,0.25,5,5,CLASSIFIED
2023-01,hulkenberg,0.25,15,15,CLASSIFIED
2023-01,kevin_magnussen,0.25,13,13,CLASSIFIED
2023-01,leclerc,0.25,19,19,DNF
2023-01,max_verstappen,0.25,1,1,CLASSIFIED
2023-01,norris,0.25,17,17,CLASSIFIED
2023-01,ocon,0.25,18,18,DNF
2023-01,perez,0.25,2,2,CLASSIFIED
2023-01,piastri,0.25,20,20,DNF
2023-01,russell,0.25,7,7,CLASSIFIED
2023-01,sainz,0.25,4,4,CLASSIFIED
2023-01,sargeant,0.25,12,12,CLASSIFIED
2023-01,stroll,0.25,6,6,CLASSIFIED
2023-01,tsunoda,0.25,11,11,CLASSIFIED
2023-01,zhou,0.25,16,16,CLASSIFIED
2023-02,albon,0.25,19,19,DNF
2023-02,alonso,0.25,3,3,CLASSIFIED
2023-02,bottas,0.25,18,18,CLASSIFIED
2023-02,de_vries,0.25,14,14,CLASSIFIED
2023-02,gasly,0.25,9,9,CLASSIFIED
2023-02,hamilton,0.25,5,5,CLASSIFIED
2023-02,hulkenberg,0.25,12,12,CLASSIFIED
2023-02,kevin_magnussen,0.25,10,10,CLASSIFIED
2023-02,leclerc,0.25,7,7,CLASSIFIED
2023-02,max_verstappen,0.25,2,2,CLASSIFIED
2023-02,norris,0.25,17,17,CLASSIFIED
2023-02,ocon,0.25,8,8,CLASSIFIED
2023-02,perez,0.25,1,1,CLASSIFIED
2023-02,piastri,0.25,15,15,CLASSIFIED
2023-02,russell,0.25,4,4,CLASSIFIED
2023-02,sainz,0.25,6,6,CLASSIFIED
2023-02,sargeant,0.25,16,16,CLASSIFIED
2023-02,stroll,0.25,20,20,DNF
2023-02,tsunoda,0.25,11,11,CLASSIFIED
2023-02,zhou,0.25,13,13,CLASSIFIED
2023-03,albon,0.25,19,19,DNF
