race_id,season,round,race_date,circuit_id,driver_id,qualifying_position,qualifying_time_seconds,qualifying_gap_percent,qualifying_teammate_delta_percent,qualifying_missing,official_grid_position,source_grid_position,grid_change_from_qualifying,penalty_note,qualifying_cutoff,grid_recorded_at
2023-01,2023,1,2023-03-05,bahrain,max_verstappen,1,89.708,0.0,-0.15359615341807673,False,1,1,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,perez,2,89.846,0.15383243411959382,0.15383243411959382,False,2,2,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,alonso,5,90.336,0.700049048022473,-0.5504425558148751,False,5,5,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,sainz,4,90.154,0.49716859142997055,0.17111111111110705,False,4,4,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,hamilton,7,90.384,0.7535559816292883,0.04870489262784694,False,7,7,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,stroll,8,90.836,1.2574129397601108,0.5534891958908962,False,8,8,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,russell,6,90.34,0.7045079591563796,-0.0486811825101754,False,6,6,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,bottas,12,91.443,1.9340527043296023,-0.0327965629202072,False,12,12,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,gasly,20,92.181,2.756721808534355,1.3936247442638052,False,20,20,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,albon,15,91.461,1.9541178044321577,-0.20839697988041997,False,15,15,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,tsunoda,14,91.4,1.8861194096401739,-0.7826662758762971,False,14,14,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,sargeant,16,91.652,2.1670308110759384,0.20883217983621707,False,16,16,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,kevin_magnussen,17,91.892,2.4345654791099984,1.1926130669867507,False,17,17,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,de_vries,19,92.12100000000001,2.689838141525852,0.7888402625820609,False,19,19,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,hulkenberg,10,90.809,1.2273152896062771,-1.178557436991249,False,10,10,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,zhou,13,91.473,1.9674945378338617,0.03280732259440432,False,13,13,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,norris,11,91.381,1.8649395817541377,-0.7817504695931627,False,11,11,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
2023-01,2023,1,2023-03-05,bahrain,ocon,9,90.914,1.3443617068711855,-1.3744697931243923,False,9,9,0,,2023-03-04T17:00:00+00:00,2023-03-05T13:00:00+00:00
